dialog,emotion
 그건 그 여자 사정이지!,0
 그래. 자랑이다!,0
 난 작업중이잖아요 자꾸 말 시키지 마요. 헷갈리잖아요,0
 아니. 왜 하루종일 밥타령이야? 요즘 굶고 다녀?,0
 왜 못 가냐구!,0
 형만 입이고..나는 입 아냐! 왜 형만 줘,0
"... 내가 그렇게 싫어? 오히려, 내가 너 보기 불편해야 맞는 거 아니냐?",0
... 네가 아들 옆에 있으면 아들이 너같이 될까봐 무서워! 됐어!?,0
... 죽도록 가르쳐서 명문대라는 데 보내 놓으면 뭐 해. 한 자리씩 차지하고 앉으면 죄다들 여기가 이상해져 버리는 걸. 헛짓이야. 그런 망종들 대학에 하나라도 덜 보내는 게 세상 돕는 길이야.,0
.... 녹음할 수가 없었어.,0
.... 여기서 아부지 생일 선물을 만들고 있었는데 ... 그놈이 들어왔다 ....  아부지가 죽어두 좋으니까 갱을 폭파해 버리라는 명령을 하는거야 그놈 얼굴도 똑똑히 보았어 ,0
...... 언제까지 날 여기서 썩게 하실 셈인가? ,0
....뒷좌석 가운데는 가장 사망률이 높기 때문이다.,0
...원하는 게 뭐야?,0
...한 번만 더 소리질러도 신고한다.,0
..나한테 그런거냐?,0
..몇 번 얘기해요? 이 차 밖에 없다니까!,0
……거 더럽게 끈질기네. 작작 좀 하지?,0
……괜한 배려 따윈 집어치워.,0
"……그건, 나 스스로 알아서 할 일이야. 언니하고는 상관없어.",0
"……나 안 해. 그리고, 다음에 그런 소리 했다간 진짜 부츠로 맞을 줄 알아.",0
……나는 얹혀살 마음은 있어도 적선을 받을 마음은 없어!,0
……또 처음부터 쓰고 싶나 보지?,0
……또，그런 식으로…….,0
"……시끄럽다, 주절주절 떠들지 마라.",0
……싸잡아 말하지 마. 희생? 웃기지 마. 나한테는 당연한 일이라고.,0
……언니하고는 상관없잖아.,0
"……엄청난 소릴, 꺼내는구나.",0
……학생회장 씨?,0
"……흐응, 그렇다 이거지. 그럼 됐어. 이제 안 물을 거야.",0
…그럼 공식 발표 안했으면 피웠겠다?,0
…너는 왜 나한테 연락을 안하고 네 담임선생님한테 연락이 가게 한거야?,0
"…설마, 모르겠다고 말할 생각이냐?",0
…웃기지 마. 나 이제 네가 싫어졌거든? 두 번 다시 나와 내 주위 사람들에게 아무 짓도 하지 말아줘.,0
0.3kg이나 불었어!,0
